Model,Epsilon,FairPercent,NonFairPercent,UnknownPercent,TotalTime,AvgTime
AC-1.onnx,0.000000,88.000000,12.000000,0.000000,1.411004,0.014110
AC-1.onnx,0.020000,83.000000,17.000000,0.000000,3.231690,0.032317
AC-1.onnx,0.030000,78.000000,22.000000,0.000000,3.598685,0.035987
AC-1.onnx,0.050000,70.000000,30.000000,0.000000,4.041821,0.040418
AC-1.onnx,0.070000,57.000000,43.000000,0.000000,4.497548,0.044975
AC-1.onnx,0.100000,49.000000,51.000000,0.000000,6.051995,0.060520
AC-10.onnx,0.000000,87.000000,13.000000,0.000000,1.176213,0.011762
AC-10.onnx,0.020000,81.000000,19.000000,0.000000,3.381627,0.033816
AC-10.onnx,0.030000,82.000000,18.000000,0.000000,4.010837,0.040108
AC-10.onnx,0.050000,75.000000,25.000000,0.000000,4.870807,0.048708
AC-10.onnx,0.070000,70.000000,30.000000,0.000000,6.303681,0.063037
AC-10.onnx,0.100000,63.000000,37.000000,0.000000,9.456289,0.094563
AC-11.onnx,0.000000,88.000000,12.000000,0.000000,1.146267,0.011463
AC-11.onnx,0.020000,86.000000,14.000000,0.000000,8.435133,0.084351
AC-11.onnx,0.030000,86.000000,14.000000,0.000000,13.568607,0.135686
AC-11.onnx,0.050000,85.000000,15.000000,0.000000,37.574825,0.375748
AC-11.onnx,0.070000,83.000000,17.000000,0.000000,86.657218,0.866572
AC-11.onnx,0.100000,77.000000,23.000000,0.000000,251.415641,2.514156
AC-12.onnx,0.000000,88.000000,12.000000,0.000000,1.503858,0.015039
AC-12.onnx,0.020000,86.000000,14.000000,0.000000,8.092884,0.080929
AC-12.onnx,0.030000,49.000000,8.000000,43.000000,8.223529,0.082235
AC-12.onnx,0.050000,85.000000,15.000000,0.000000,38.509349,0.385093
AC-12.onnx,0.070000,13.000000,4.000000,83.000000,15.486198,0.154862
AC-12.onnx,0.100000,76.000000,24.000000,0.000000,180.230539,1.802305
AC-3.onnx,0.000000,91.000000,9.000000,0.000000,0.965374,0.009654
AC-3.onnx,0.020000,86.000000,14.000000,0.000000,6.194256,0.061943
AC-3.onnx,0.030000,86.000000,14.000000,0.000000,9.220536,0.092205
AC-3.onnx,0.050000,83.000000,17.000000,0.000000,17.241965,0.172420
AC-3.onnx,0.070000,84.000000,16.000000,0.000000,27.478591,0.274786
AC-3.onnx,0.100000,79.000000,21.000000,0.000000,65.568229,0.655682
AC-4.onnx,0.000000,91.000000,9.000000,0.000000,1.074607,0.010746
AC-4.onnx,0.020000,83.000000,17.000000,0.000000,8.819258,0.088193
AC-4.onnx,0.030000,85.000000,15.000000,0.000000,17.851404,0.178514
AC-4.onnx,0.050000,80.000000,20.000000,0.000000,64.611928,0.646119
AC-4.onnx,0.070000,73.000000,27.000000,0.000000,173.503135,1.735031
AC-4.onnx,0.100000,48.000000,52.000000,0.000000,509.916175,5.099162
AC-5.onnx,0.000000,87.000000,13.000000,0.000000,1.044570,0.010446
AC-5.onnx,0.020000,83.000000,17.000000,0.000000,11.730156,0.117302
AC-5.onnx,0.030000,83.000000,17.000000,0.000000,26.261556,0.262616
AC-5.onnx,0.050000,79.000000,21.000000,0.000000,93.023793,0.930238
AC-5.onnx,0.070000,76.000000,24.000000,0.000000,243.373804,2.433738
AC-5.onnx,0.100000,55.000000,36.000000,9.000000,600.744074,6.007441
